;powiat;unemployment_ratio;class;woj
188;prudnicki;10.4;IV;OPOLSKIE
189;strzelecki;5.1;II;OPOLSKIE
190;Opole;4.6;II;OPOLSKIE
191;bieszczadzki;15.2;VI;PODKARPACKIE
192;brzozowski;16.5;VI;PODKARPACKIE
193;dębicki;7.5;III;PODKARPACKIE
194;jarosławski;13.3;V;PODKARPACKIE
195;jasielski;11.1;IV;PODKARPACKIE
196;kolbuszowski;9.6;IV;PODKARPACKIE
197;krośnieński;8.5;III;PODKARPACKIE
198;leski;16.2;VI;PODKARPACKIE
199;leżajski;13.4;V;PODKARPACKIE
200;lubaczowski;9.5;IV;PODKARPACKIE
201;łańcucki;11.6;V;PODKARPACKIE
202;mielecki;6.1;II;PODKARPACKIE
203;niżański;17.5;VI;PODKARPACKIE
204;przemyski;15.0;VI;PODKARPACKIE
205;przeworski;13.2;V;PODKARPACKIE
206;ropczycko-sędziszowski;12.2;V;PODKARPACKIE
207;rzeszowski;9.6;IV;PODKARPACKIE
208;sanocki;7.4;III;PODKARPACKIE
209;stalowowolski;5.8;II;PODKARPACKIE
210;strzyżowski;14.7;VI;PODKARPACKIE
211;tarnobrzeski;8.5;III;PODKARPACKIE
212;Krosno;4.0;I;PODKARPACKIE
213;Przemyśl;13.3;V;PODKARPACKIE
214;Rzeszów;6.0;II;PODKARPACKIE
215;Tarnobrzeg;9.9;IV;PODKARPACKIE
216;augustowski;10.3;IV;PODLASKIE
217;białostocki;10.8;IV;PODLASKIE
218;bielski;6.2;II;PODLASKIE
219;grajewski;15.0;VI;PODLASKIE
220;hajnowski;8.3;III;PODLASKIE
221;kolneński;15.2;VI;PODLASKIE
222;łomżyński;8.6;III;PODLASKIE
223;moniecki;7.8;III;PODLASKIE
224;sejneński;13.5;V;PODLASKIE
225;siemiatycki;8.4;III;PODLASKIE
226;sokólski;11.8;V;PODLASKIE
227;suwalski;4.9;II;PODLASKIE
228;wysokomazowiecki;6.3;II;PODLASKIE
229;zambrowski;9.4;IV;PODLASKIE
230;Białystok;8.0;III;PODLASKIE
231;Łomża;10.3;IV;PODLASKIE
232;Suwałki;6.4;II;PODLASKIE
233;bytowski;11.3;V;POMORSKIE
234;chojnicki;10.6;IV;POMORSKIE
235;człuchowski;13.2;V;POMORSKIE
236;gdański;5.0;II;POMORSKIE
237;kartuski;3.7;I;POMORSKIE
238;kościerski;6.5;II;POMORSKIE
239;kwidzyński;6.7;II;POMORSKIE
240;lęborski;7.6;III;POMORSKIE
241;malborski;12.4;V;POMORSKIE
242;nowodworski;10.7;IV;POMORSKIE
243;pucki;7.4;III;POMORSKIE
244;słupski;9.6;IV;POMORSKIE
245;starogardzki;5.9;II;POMORSKIE
246;sztumski;11.7;V;POMORSKIE
247;tczewski;7.0;II;POMORSKIE
248;wejherowski;7.2;III;POMORSKIE
249;Gdańsk;3.3;I;POMORSKIE
250;Gdynia;3.2;I;POMORSKIE
251;Słupsk;4.8;II;POMORSKIE
252;Sopot;2.3;I;POMORSKIE
253;będziński;9.7;IV;ŚLĄSKIE
254;bielski;4.4;II;ŚLĄSKIE
255;bieruńsko-lędziński;3.2;I;ŚLĄSKIE
256;cieszyński;5.6;II;ŚLĄSKIE
257;częstochowski;9.3;IV;ŚLĄSKIE
258;gliwicki;6.3;II;ŚLĄSKIE
259;kłobucki;7.9;III;ŚLĄSKIE
260;lubliniecki;7.4;III;ŚLĄSKIE
261;mikołowski;3.5;I;ŚLĄSKIE
262;myszkowski;9.7;IV;ŚLĄSKIE
263;pszczyński;3.5;I;ŚLĄSKIE
264;raciborski;5.4;II;ŚLĄSKIE
265;rybnicki;7.6;III;ŚLĄSKIE
266;tarnogórski;7.0;II;ŚLĄSKIE
267;wodzisławski;7.0;II;ŚLĄSKIE
268;zawierciański;10.0;IV;ŚLĄSKIE
269;żywiecki;7.2;III;ŚLĄSKIE
270;Bielsko-Biała;2.8;I;ŚLĄSKIE
271;Bytom;13.3;V;ŚLĄSKIE
272;Chorzów;6.6;II;ŚLĄSKIE
273;Częstochowa;5.3;II;ŚLĄSKIE
274;Dąbrowa Górnicza;7.0;II;ŚLĄSKIE
275;Gliwice;4.0;I;ŚLĄSKIE
276;Jastrzębie-Zdrój;5.8;II;ŚLĄSKIE
277;Jaworzno;5.3;II;ŚLĄSKIE
278;Katowice;2.5;I;ŚLĄSKIE
279;Mysłowice;6.2;II;ŚLĄSKIE
280;Piekary Śląskie;8.1;III;ŚLĄSKIE
281;Ruda Śląska;4.5;II;ŚLĄSKIE
282;Rybnik;4.9;II;ŚLĄSKIE
283;Siemianowice Śląskie;7.2;III;ŚLĄSKIE
284;Sosnowiec;8.7;III;ŚLĄSKIE
285;Świętochłowice;8.4;III;ŚLĄSKIE
286;Tychy;3.1;I;ŚLĄSKIE
287;Zabrze;7.0;II;ŚLĄSKIE
288;Żory;5.0;II;ŚLĄSKIE
289;buski;4.4;II;ŚWIĘTOKRZYSKIE
290;jędrzejowski;8.4;III;ŚWIĘTOKRZYSKIE
291;kazimierski;8.6;III;ŚWIĘTOKRZYSKIE
292;kielecki;11.2;IV;ŚWIĘTOKRZYSKIE
293;konecki;12.7;V;ŚWIĘTOKRZYSKIE
294;opatowski;12.8;V;ŚWIĘTOKRZYSKIE
295;ostrowiecki;12.4;V;ŚWIĘTOKRZYSKIE
296;pińczowski;6.8;II;ŚWIĘTOKRZYSKIE
297;sandomierski;7.4;III;ŚWIĘTOKRZYSKIE
298;skarżyski;17.0;VI;ŚWIĘTOKRZYSKIE
299;starachowicki;9.8;IV;ŚWIĘTOKRZYSKIE
300;staszowski;7.5;III;ŚWIĘTOKRZYSKIE
301;włoszczowski;7.0;II;ŚWIĘTOKRZYSKIE
302;Kielce;6.4;II;ŚWIĘTOKRZYSKIE
303;bartoszycki;20.9;VII;WARMIŃSKO-MAZURSKIE
304;braniewski;22.4;VII;WARMIŃSKO-MAZURSKIE
305;działdowski;16.6;VI;WARMIŃSKO-MAZURSKIE
306;elbląski;18.8;VII;WARMIŃSKO-MAZURSKIE
307;ełcki;14.7;VI;WARMIŃSKO-MAZURSKIE
308;giżycki;10.1;IV;WARMIŃSKO-MAZURSKIE
309;gołdapski;12.5;V;WARMIŃSKO-MAZURSKIE
310;iławski;5.0;II;WARMIŃSKO-MAZURSKIE
311;kętrzyński;19.2;VII;WARMIŃSKO-MAZURSKIE
312;lidzbarski;17.6;VII;WARMIŃSKO-MAZURSKIE
313;mrągowski;10.6;IV;WARMIŃSKO-MAZURSKIE
314;nidzicki;9.0;III;WARMIŃSKO-MAZURSKIE
315;nowomiejski;9.3;IV;WARMIŃSKO-MAZURSKIE
316;olecki;14.3;VI;WARMIŃSKO-MAZURSKIE
317;olsztyński;13.8;V;WARMIŃSKO-MAZURSKIE
318;ostródzki;12.8;V;WARMIŃSKO-MAZURSKIE
319;piski;17.2;VI;WARMIŃSKO-MAZURSKIE
320;szczycieński;12.3;V;WARMIŃSKO-MAZURSKIE
321;węgorzewski;18.3;VII;WARMIŃSKO-MAZURSKIE
322;Elbląg;10.2;IV;WARMIŃSKO-MAZURSKIE
323;Olsztyn;4.6;II;WARMIŃSKO-MAZURSKIE
324;chodzieski;8.8;III;WIELKOPOLSKIE
325;czarnkowsko-trzcianecki;5.3;II;WIELKOPOLSKIE
326;gnieźnieński;6.9;II;WIELKOPOLSKIE
327;gostyński;6.0;II;WIELKOPOLSKIE
328;grodziski;4.6;II;WIELKOPOLSKIE
329;jarociński;4.8;II;WIELKOPOLSKIE
330;kaliski;3.4;I;WIELKOPOLSKIE
331;kępiński;2.1;I;WIELKOPOLSKIE
332;kolski;7.9;III;WIELKOPOLSKIE
333;koniński;12.0;V;WIELKOPOLSKIE
334;kościański;4.0;I;WIELKOPOLSKIE
335;krotoszyński;3.8;I;WIELKOPOLSKIE
336;leszczyński;3.5;I;WIELKOPOLSKIE
337;międzychodzki;5.1;II;WIELKOPOLSKIE
338;nowotomyski;2.7;I;WIELKOPOLSKIE
339;obornicki;4.9;II;WIELKOPOLSKIE
340;ostrowski;3.7;I;WIELKOPOLSKIE
341;ostrzeszowski;4.8;II;WIELKOPOLSKIE
342;pilski;6.1;II;WIELKOPOLSKIE
343;pleszewski;3.9;I;WIELKOPOLSKIE
344;poznański;1.9;I;WIELKOPOLSKIE
345;rawicki;5.2;II;WIELKOPOLSKIE
346;słupecki;8.1;III;WIELKOPOLSKIE
347;szamotulski;4.5;II;WIELKOPOLSKIE
348;średzki;7.1;III;WIELKOPOLSKIE
349;śremski;2.9;I;WIELKOPOLSKIE
350;turecki;4.7;II;WIELKOPOLSKIE
351;wągrowiecki;7.1;III;WIELKOPOLSKIE
352;wolsztyński;1.9;I;WIELKOPOLSKIE
353;wrzesiński;4.2;I;WIELKOPOLSKIE
354;złotowski;8.3;III;WIELKOPOLSKIE
355;Kalisz;3.7;I;WIELKOPOLSKIE
356;Konin;9.1;III;WIELKOPOLSKIE
357;Leszno;4.3;II;WIELKOPOLSKIE
358;Poznań;1.7;I;WIELKOPOLSKIE
359;białogardzki;20.2;VII;ZACHODNIOPOMORSKIE
360;choszczeński;17.6;VII;ZACHODNIOPOMORSKIE
361;drawski;16.8;VI;ZACHODNIOPOMORSKIE
362;goleniowski;7.4;III;ZACHODNIOPOMORSKIE
363;gryficki;10.2;IV;ZACHODNIOPOMORSKIE
364;gryfiński;13.0;V;ZACHODNIOPOMORSKIE
365;kamieński;15.0;VI;ZACHODNIOPOMORSKIE
366;kołobrzeski;5.6;II;ZACHODNIOPOMORSKIE
367;koszaliński;14.4;VI;ZACHODNIOPOMORSKIE
368;łobeski;21.6;VII;ZACHODNIOPOMORSKIE
369;myśliborski;9.4;IV;ZACHODNIOPOMORSKIE
370;policki;6.8;II;ZACHODNIOPOMORSKIE
371;pyrzycki;14.7;VI;ZACHODNIOPOMORSKIE
372;sławieński;14.6;VI;ZACHODNIOPOMORSKIE
373;stargardzki;9.7;IV;ZACHODNIOPOMORSKIE
374;szczecinecki;17.2;VI;ZACHODNIOPOMORSKIE
375;świdwiński;16.0;VI;ZACHODNIOPOMORSKIE
376;wałecki;9.4;IV;ZACHODNIOPOMORSKIE
377;Koszalin;6.3;II;ZACHODNIOPOMORSKIE
378;Szczecin;4.1;I;ZACHODNIOPOMORSKIE
379;Świnoujście;5.0;II;ZACHODNIOPOMORSKIE
