,powiat,unemployment_ratio,class
356,Konin,9.1,III
357,Leszno,4.3,II
358,Poznań,1.7,I
359,białogardzki,20.2,VII
360,choszczeński,17.6,VII
361,drawski,16.8,VI
362,goleniowski,7.4,III
363,gryficki,10.2,IV
364,gryfiński,13.0,V
365,kamieński,15.0,VI
366,kołobrzeski,5.6,II
367,koszaliński,14.4,VI
368,łobeski,21.6,VII
369,myśliborski,9.4,IV
370,policki,6.8,II
371,pyrzycki,14.7,VI
372,sławieński,14.6,VI
373,stargardzki,9.7,IV
374,szczecinecki,17.2,VI
375,świdwiński,16.0,VI
376,wałecki,9.4,IV
377,Koszalin,6.3,II
378,Szczecin,4.1,I
379,Świnoujście,5.0,II
